"","Date","PosCount","NegCount","TrustCount","AngerCount","AnticipationCount","DisgustCount","FearCount","JoyCount","SadnessCount","SurpriseCount"
"241",2009-02-03,25,23,15,13,7,4,21,5,8,4
"242",2009-02-04,21,13,12,8,8,4,11,2,6,1
"243",2009-02-05,26,14,15,10,11,3,17,6,5,4
"244",2009-02-06,19,25,17,14,7,5,22,3,10,0
"245",2009-02-07,5,26,4,15,4,12,17,1,12,5
"246",2009-02-08,22,23,15,16,8,4,20,9,18,4
"247",2009-02-09,14,30,7,13,8,7,22,2,14,7
"248",2009-02-10,18,22,12,13,7,8,21,6,11,3
"249",2009-02-11,15,29,13,16,10,8,23,4,14,7
"250",2009-02-12,14,22,10,13,5,4,19,4,11,2
"251",2009-02-13,13,24,14,10,5,6,15,5,8,2
"252",2009-02-14,22,27,20,13,10,5,21,6,9,5
"253",2009-02-15,21,13,15,7,8,5,11,10,6,1
"254",2009-02-16,12,37,20,18,5,7,33,5,15,5
"255",2009-02-17,13,22,12,10,7,10,18,5,12,4
"256",2009-02-18,12,23,10,13,7,6,21,3,10,5
"257",2009-02-19,12,22,9,13,8,6,13,3,10,3
"258",2009-02-20,8,23,14,10,4,9,14,2,8,3
"259",2009-02-21,20,24,14,13,5,8,17,3,8,5
"260",2009-02-22,21,25,18,12,13,7,20,8,8,6
"261",2009-02-23,19,22,14,11,10,8,13,8,14,4
"262",2009-02-24,28,38,20,16,17,7,20,11,16,6
"263",2009-02-25,22,30,15,13,9,7,25,8,12,6
"264",2009-02-26,20,26,18,11,10,5,21,6,6,4
"265",2009-02-27,25,20,24,12,12,3,23,6,9,7
"266",2009-02-28,24,31,18,21,11,10,25,7,19,7
"267",2009-03-01,14,29,14,17,4,8,20,2,12,5
"268",2009-03-02,19,25,10,13,8,6,20,4,11,6
"269",2009-03-03,18,17,12,11,13,3,15,5,9,5
"270",2009-03-04,14,26,11,14,3,5,20,3,13,2
"271",2009-03-05,27,29,19,13,5,9,22,7,17,5
"272",2009-03-06,19,28,18,14,11,10,22,3,12,7
"273",2009-03-07,17,26,20,15,9,7,19,6,14,7
"274",2009-03-08,16,28,10,18,12,8,24,4,14,8
"275",2009-03-09,25,20,22,16,13,4,18,6,11,4
"276",2009-03-10,10,18,10,13,6,6,17,4,8,2
"277",2009-03-11,15,23,10,16,9,7,21,1,14,6
